Students_Count,Quantity_Prepared,Quantity_Sold,Food_Waste,Rating,Fact_ID,Food_ID,Weather_ID,Meal_ID,Date_ID,Revenue
499,156,136,20,4.8,46,3,2,3,42,8160
271,111,50,61,3.4,47,8,2,2,29,1250
286,111,49,62,4.7,48,3,2,3,43,2940
329,108,55,53,3.4,49,10,1,1,44,1375
545,178,175,3,4.4,50,5,4,3,45,3500
209,98,36,62,3.1,51,1,1,3,46,1440
523,171,169,2,3.2,52,7,4,3,47,11830
172,77,24,53,4.1,53,6,3,1,48,2160
370,127,83,44,4.7,54,7,5,1,49,5810
491,144,107,37,4.1,55,6,4,2,50,9630
496,165,151,14,3.8,56,4,6,3,51,2265
257,107,50,57,4.4,57,6,4,3,52,4500
487,160,145,15,4.2,58,8,5,3,53,3625
265,93,30,63,5.0,59,6,2,1,5,2700
362,128,81,47,4.0,60,10,6,1,54,2025
534,145,117,28,4.9,61,1,5,1,55,4680
435,146,119,27,3.9,62,1,2,3,56,4760
312,120,70,50,3.9,63,2,4,2,18,2450
380,135,91,44,4.5,64,10,1,2,57,2275
290,119,64,55,3.5,65,3,1,3,58,3840
220,92,27,65,4.4,66,5,2,2,59,540
319,119,64,55,4.7,67,4,3,3,60,960
588,166,154,12,3.6,68,1,3,2,61,6160
532,169,160,9,3.9,69,9,6,3,61,4800
492,168,167,1,3.9,70,7,3,3,62,11690
163,77,17,60,3.3,71,9,1,2,63,510
283,100,40,60,3.7,72,1,4,1,64,1600
279,102,46,56,3.1,73,4,5,3,65,690
549,170,161,9,3.4,74,5,6,1,66,3220
272,107,53,54,4.9,75,8,5,2,67,1325
542,162,152,10,4.4,76,6,1,2,68,13680
446,152,126,26,3.8,77,5,5,3,69,2520
503,135,99,36,3.6,78,2,6,1,70,3465
557,155,131,24,4.3,79,5,6,2,71,2620
156,76,16,60,4.3,80,7,4,2,72,1120
372,127,81,46,4.5,81,8,5,2,73,2025
287,121,65,56,3.6,82,2,1,3,68,2275
441,132,89,43,4.7,83,10,3,1,74,2225
331,119,69,50,4.4,84,3,4,3,75,4140
414,124,75,49,4.0,85,1,2,2,76,3000
480,144,103,41,3.2,86,10,3,2,77,2575
306,118,67,51,3.7,87,3,3,3,44,4020
509,157,132,25,3.2,88,7,4,3,78,9240
530,156,139,17,4.0,89,5,6,3,51,2780
294,104,45,59,3.4,90,2,2,2,23,1575
214,100,43,57,3.6,91,9,1,2,79,1290
202,89,30,59,3.7,92,10,5,2,80,750
208,96,39,57,4.3,93,10,5,3,81,975
565,145,108,37,3.2,94,8,3,1,82,2700
554,172,169,3,3.9,95,2,6,2,83,5915
369,136,99,37,3.2,96,2,1,3,84,3465
285,99,36,63,4.1,97,3,6,2,85,2160
380,120,65,55,3.6,98,4,3,1,86,975
186,93,39,54,4.6,99,10,6,2,87,975
367,127,77,50,4.7,100,3,2,2,23,4620
555,158,139,19,4.4,101,8,4,1,24,3475
406,139,103,36,3.1,102,6,3,3,88,9270
459,127,83,44,4.7,103,7,1,2,89,5810
541,161,150,11,4.5,104,1,3,2,90,6000
292,111,56,55,4.9,105,10,5,2,91,1400
320,130,83,47,3.8,106,4,1,3,91,1245
566,175,171,4,3.5,107,4,6,3,92,2565
572,174,168,6,4.0,108,9,5,3,93,5040
539,161,141,20,4.9,109,10,2,3,94,3525
212,95,33,62,4.1,110,10,2,2,95,825
265,118,69,49,4.7,111,5,5,3,96,1380
410,129,83,46,5.0,112,6,3,2,97,7470
224,107,52,55,4.5,113,9,1,3,55,1560
545,176,175,1,3.5,114,6,4,1,98,15750
578,195,193,2,4.1,115,6,3,3,99,17370
540,169,161,8,4.7,116,9,3,3,100,4830
346,107,55,52,3.9,117,2,5,1,101,1925
403,140,105,35,3.7,118,8,2,3,102,2625
419,151,123,28,4.7,119,5,1,3,103,2460
550,165,152,13,4.3,120,10,4,1,104,3800
344,128,75,53,4.2,121,9,4,2,45,2250
266,101,37,64,4.5,122,6,6,2,32,3330
235,104,40,64,3.6,123,10,3,1,105,1000
341,120,68,52,4.1,124,7,1,3,106,4760
190,89,26,63,4.0,125,8,3,1,107,650
386,126,81,45,3.0,126,3,3,1,108,4860
230,109,55,54,3.6,127,9,5,3,68,1650
383,140,109,31,4.0,128,6,1,2,109,9810
333,137,94,43,3.0,129,2,3,3,110,3290
154,89,34,55,4.0,130,6,6,3,111,3060
560,167,161,6,3.5,131,2,1,1,112,5635
471,137,97,40,3.1,132,8,2,2,111,2425
196,92,28,64,3.4,133,8,4,2,8,700
406,133,97,36,4.9,134,9,1,3,113,2910
561,181,174,7,4.5,135,7,5,2,114,12180
583,148,117,31,3.0,136,4,3,2,115,1755
338,119,74,45,4.3,137,10,3,1,46,1850
391,140,99,41,4.3,138,3,5,1,116,5940
482,145,105,40,3.6,139,6,1,3,117,9450
270,101,41,60,4.3,140,5,6,1,118,820
450,153,131,22,3.2,141,4,6,2,119,1965
293,102,44,58,4.9,142,4,5,2,120,660
428,121,68,53,3.4,143,7,3,1,121,4760
489,143,107,36,3.5,144,5,2,3,122,2140
185,88,34,54,4.7,145,3,6,2,80,2040
151,85,27,58,3.5,146,2,1,1,45,945
217,98,35,63,4.2,147,1,5,1,123,1400
176,85,30,55,3.1,148,6,5,1,124,2700
453,152,128,24,3.1,149,9,5,3,125,3840
384,114,60,54,4.7,150,6,6,2,111,5400
401,117,59,58,3.6,151,5,3,2,126,1180
290,105,50,55,4.1,152,8,3,1,127,1250
370,133,94,39,4.8,153,2,2,2,128,3290
370,121,77,44,3.9,154,3,1,2,96,4620
310,115,60,55,4.9,155,5,4,2,129,1200
196,93,38,55,4.5,156,5,2,3,38,760
450,145,112,33,3.7,157,1,3,2,130,4480
297,113,61,52,4.0,158,1,3,3,131,2440
264,109,52,57,3.2,159,10,5,2,104,1300
563,167,161,6,4.7,160,3,1,2,132,9660
289,116,62,54,3.0,161,8,3,1,133,1550
185,81,23,58,3.4,162,4,2,2,134,345
230,105,53,52,4.9,163,7,4,3,135,3710
229,98,37,61,3.9,164,1,2,1,47,1480
376,126,80,46,3.2,165,2,4,3,109,2800
497,150,119,31,3.1,166,6,3,1,136,10710
153,85,31,54,3.3,167,1,5,2,137,1240
211,101,38,63,3.3,168,7,5,3,138,2660
406,118,72,46,4.5,169,3,3,2,20,4320
189,88,33,55,4.3,170,10,4,1,139,825
160,85,28,57,3.9,171,4,1,1,140,420
373,132,87,45,4.0,172,5,2,3,41,1740
263,100,45,55,3.2,173,7,1,3,137,3150
329,109,48,61,3.5,174,7,6,1,53,3360
539,144,116,28,4.3,175,8,6,2,141,2900
379,136,98,38,3.6,176,2,3,2,142,3430
376,133,92,41,3.1,177,10,3,1,143,2300
386,114,66,48,3.6,178,6,1,1,144,5940
454,139,102,37,4.9,179,2,3,1,34,3570
483,162,148,14,3.3,180,2,5,3,145,5180
565,177,170,7,3.1,181,5,1,3,146,3400
418,139,98,41,3.8,182,10,6,3,147,2450
176,79,14,65,4.1,183,2,3,2,148,490
520,160,145,15,4.3,184,6,6,3,149,13050
216,95,35,60,4.3,185,4,6,3,66,525
197,89,23,66,3.7,186,9,3,1,45,690
542,147,111,36,3.3,187,7,1,1,107,7770
544,165,159,6,4.2,188,9,6,1,114,4770
233,106,42,64,3.8,189,8,2,3,47,1050
377,132,94,38,3.9,190,3,3,2,150,5640
564,157,138,19,5.0,191,6,1,1,151,12420
407,155,139,16,3.4,192,4,3,3,64,2085
176,90,31,59,4.9,193,6,3,1,152,2790
295,103,47,56,3.3,194,5,2,2,153,940
568,181,178,3,3.1,195,3,4,1,139,10680
347,120,68,52,4.9,196,3,5,3,154,4080
220,106,49,57,4.4,197,8,5,3,155,1225
379,137,90,47,3.5,198,10,6,2,156,2250
420,142,103,39,3.6,199,2,1,2,157,3605
477,129,90,39,4.8,200,4,3,1,158,1350
473,152,123,29,3.9,201,1,6,2,47,4920
442,154,125,29,4.0,202,3,1,3,159,7500
428,132,88,44,3.1,203,9,6,1,160,2640
532,181,177,4,3.5,204,6,5,3,161,15930
545,144,108,36,4.1,205,5,3,2,162,2160
506,163,143,20,4.4,206,10,1,1,163,3575
253,107,49,58,4.9,207,6,2,1,164,4410
392,145,108,37,3.6,208,9,1,3,165,3240
289,106,48,58,4.5,209,7,5,2,158,3360
404,136,101,35,4.0,210,8,3,3,149,2525
190,88,27,61,3.2,211,4,1,2,166,405
306,103,46,57,3.7,212,6,4,2,167,4140
464,147,121,26,4.9,213,7,4,2,145,8470
336,128,77,51,4.7,214,4,6,2,168,1155
214,102,42,60,3.7,215,1,2,3,169,1680
228,103,43,60,3.9,216,2,3,1,170,1505
421,128,79,49,3.5,217,8,4,2,171,1975
405,143,103,40,3.5,218,8,3,1,172,2575
259,105,48,57,3.4,219,10,3,2,173,1200
238,106,54,52,4.4,220,10,3,1,98,1350
513,167,165,2,3.3,221,7,5,2,59,11550
556,145,108,37,4.6,222,8,1,2,174,2700
334,124,76,48,3.3,223,1,3,3,110,3040
353,121,75,46,3.8,224,6,3,1,175,6750
312,111,59,52,4.0,225,8,6,1,90,1475
243,98,46,52,3.1,226,2,5,2,63,1610
305,106,54,52,3.5,227,8,2,2,6,1350
278,104,44,60,4.2,228,5,5,3,56,880
453,129,85,44,4.4,229,8,6,2,5,2125
171,82,26,56,4.5,230,2,2,3,152,910
542,163,142,21,4.0,231,3,3,2,30,8520
478,136,101,35,4.4,232,6,4,2,176,9090
502,160,143,17,3.9,233,5,2,3,177,2860
310,117,71,46,3.7,234,8,3,2,178,1775
413,126,79,47,3.2,235,7,6,1,179,5530
199,96,43,53,4.2,236,8,5,1,74,1075
445,128,77,51,4.0,237,7,3,1,180,5390
600,163,149,14,4.0,238,10,4,3,165,3725
330,110,57,53,4.8,239,2,2,1,77,1995
296,116,63,53,3.3,240,10,6,2,181,1575
541,139,94,45,4.1,241,7,4,2,30,6580
297,116,69,47,4.1,242,9,5,3,182,2070
210,90,36,54,5.0,243,2,2,2,183,1260
251,106,42,64,3.1,244,8,3,3,184,1050
383,131,89,42,3.6,245,9,2,3,43,2670
453,147,113,34,3.9,246,6,4,2,185,10170
494,164,156,8,4.8,247,7,5,3,124,10920
455,156,140,16,4.9,248,1,4,2,186,5600
519,140,106,34,4.4,249,3,5,2,187,6360
166,79,20,59,3.6,250,3,6,1,65,1200
360,141,108,33,4.5,251,3,3,3,188,6480
256,110,55,55,4.1,252,9,3,1,189,1650
422,139,108,31,4.4,253,10,4,1,190,2700
462,158,135,23,4.1,254,6,1,2,163,12150
510,157,135,22,4.1,255,6,5,3,115,12150
443,162,147,15,4.6,256,5,3,3,191,2940
297,113,59,54,4.3,257,1,6,3,192,2360
573,183,183,0,3.5,258,3,3,1,193,10980
272,107,52,55,3.5,259,2,2,2,194,1820
361,111,61,50,3.3,260,5,4,1,195,1220
484,152,131,21,4.9,261,4,4,1,78,1965
543,173,173,0,4.7,262,1,2,3,196,6920
578,187,184,3,4.6,263,4,2,1,197,2760
598,160,145,15,3.2,264,6,2,2,198,13050
478,171,163,8,4.7,265,10,3,3,199,4075
564,162,147,15,4.3,266,3,5,3,200,8820
554,147,122,25,4.3,267,7,1,1,198,8540
317,125,72,53,5.0,268,9,5,3,201,2160
153,81,27,54,3.5,269,3,4,3,202,1620
520,157,135,22,4.4,270,2,6,3,45,4725
388,124,77,47,4.8,271,5,1,2,146,1540
477,161,141,20,4.9,272,5,4,3,105,2820
532,153,129,24,4.8,273,10,3,1,202,3225
540,159,141,18,4.4,274,3,2,2,203,8460
181,87,22,65,3.3,275,5,6,2,171,440
498,146,116,30,3.9,276,5,5,3,58,2320
412,144,112,32,3.9,277,8,4,3,106,2800
352,126,81,45,3.1,278,1,1,2,19,3240
427,161,145,16,3.1,279,5,2,3,14,2900
542,153,127,26,3.9,280,8,3,1,204,3175
499,168,158,10,3.2,281,5,6,3,205,3160
215,103,51,52,3.0,282,9,6,3,203,1530
367,141,101,40,3.9,283,9,3,3,177,3030
598,163,153,10,3.8,284,3,6,3,104,9180
184,86,29,57,4.4,285,3,2,1,124,1740
355,122,77,45,4.7,286,1,1,1,158,3080
298,111,61,50,4.3,287,9,5,1,106,1830
598,165,151,14,3.1,288,6,2,1,196,13590
470,145,106,39,4.9,289,8,3,2,206,2650
552,168,160,8,3.3,290,4,3,2,163,2400
392,122,76,46,3.3,291,9,2,1,207,2280
361,119,64,55,3.4,292,9,1,1,142,1920
583,168,166,2,3.4,293,10,1,1,208,4150
458,142,111,31,4.2,294,2,2,3,209,3885
395,123,66,57,3.4,295,3,5,2,49,3960
532,164,155,9,3.4,296,5,1,2,210,3100
547,158,141,17,3.7,297,7,4,2,211,9870
404,150,126,24,3.9,298,9,1,3,173,3780
310,113,55,58,4.5,299,7,1,1,59,3850
449,144,106,38,3.7,300,9,3,3,124,3180
405,123,80,43,4.0,301,3,3,2,65,4800
385,117,69,48,4.1,302,10,5,2,212,1725
418,147,119,28,3.1,303,1,2,2,213,4760
581,161,141,20,3.0,304,8,6,3,4,3525
180,92,26,66,3.0,305,7,3,3,214,1820
158,85,23,62,3.0,306,1,3,3,96,920
562,180,179,1,3.3,307,4,2,2,101,2685
279,111,51,60,3.7,308,9,4,2,51,1530
274,107,57,50,4.7,309,2,6,3,201,1995
197,87,28,59,3.1,310,1,4,2,181,1120
192,90,29,61,4.1,311,8,4,2,37,725
267,98,34,64,4.4,312,1,5,2,215,1360
486,162,146,16,3.0,313,2,2,2,216,5110
535,174,169,5,3.3,314,8,3,2,85,4225
496,144,115,29,3.3,315,4,3,2,77,1725
406,117,64,53,3.5,316,5,3,2,186,1280
543,191,187,4,3.1,317,2,3,3,168,6545
266,108,55,53,4.2,318,10,4,3,217,1375
301,100,37,63,3.8,319,2,2,1,65,1295
312,102,42,60,3.9,320,4,1,1,39,630
194,88,29,59,4.0,321,8,5,1,218,725
331,118,71,47,3.6,322,5,6,1,219,1420
361,128,83,45,4.8,323,6,1,1,149,7470
236,91,29,62,3.6,324,9,3,2,55,870
235,95,36,59,4.6,325,5,4,1,118,720
519,170,161,9,3.9,326,3,3,3,160,9660
352,137,95,42,3.9,327,1,4,3,98,3800
219,95,40,55,3.4,328,2,4,2,136,1400
313,123,79,44,3.5,329,4,4,1,190,1185
336,127,82,45,3.4,330,4,2,3,207,1230
512,163,156,7,4.4,331,10,5,1,78,3900
221,89,33,56,3.3,332,10,3,2,204,825
379,137,99,38,4.0,333,5,3,3,14,1980
168,82,19,63,4.3,334,9,1,3,220,570
172,90,29,61,4.9,335,2,3,1,26,1015
200,90,31,59,4.1,336,1,1,1,136,1240
378,124,78,46,4.2,337,3,4,2,186,4680
162,79,14,65,3.2,338,7,1,1,221,980
325,123,72,51,4.0,339,6,1,3,222,6480
313,101,47,54,3.2,340,10,5,2,95,1175
496,149,121,28,3.3,341,5,2,2,223,2420
268,103,49,54,3.9,342,10,1,3,224,1225
251,98,43,55,3.4,343,2,4,2,62,1505
445,134,88,46,3.9,344,5,2,2,132,1760
420,137,99,38,3.8,345,10,3,2,225,2475
582,194,194,0,4.6,346,7,1,3,172,13580
494,134,89,45,3.2,347,5,5,2,159,1780
411,135,95,40,3.8,348,8,4,2,226,2375
505,165,154,11,3.6,349,9,6,3,198,4620
467,170,166,4,3.3,350,10,5,3,198,4150
484,153,127,26,4.4,351,9,4,2,227,3810
192,97,34,63,3.6,352,8,6,3,228,850
297,110,60,50,4.5,353,9,5,1,191,1800
443,147,122,25,5.0,354,5,5,2,78,2440
429,123,79,44,4.3,355,10,5,1,229,1975
380,145,107,38,3.9,356,1,4,3,230,4280
565,178,178,0,4.3,357,3,3,1,231,10680
551,172,172,0,3.7,358,8,2,2,232,4300
236,93,31,62,4.9,359,9,4,2,216,930
219,101,49,52,4.3,360,5,1,2,165,980
224,100,47,53,4.7,361,3,3,1,233,2820
445,154,129,25,3.9,362,8,3,3,185,3225
413,138,97,41,3.9,363,4,3,1,39,1455
151,86,27,59,4.3,364,2,6,3,234,945
557,163,149,14,4.6,365,5,3,3,101,2980
574,181,174,7,4.1,366,7,4,3,92,12180
173,82,29,53,3.3,367,1,5,3,235,1160
253,107,48,59,3.3,368,4,6,1,236,720
278,109,56,53,3.3,369,7,5,1,191,3920
521,151,118,33,4.4,370,6,6,2,137,10620
189,88,28,60,3.0,371,10,2,1,52,700
590,181,175,6,3.8,372,5,1,3,119,3500
338,114,66,48,4.5,373,7,1,1,219,4620
185,88,24,64,3.9,374,8,6,2,237,600
360,131,81,50,4.8,375,8,3,2,238,2025
523,172,168,4,4.6,376,2,4,1,156,5880
277,118,70,48,3.1,377,5,3,3,230,1400
415,151,121,30,4.3,378,3,6,3,111,7260
207,98,34,64,4.1,379,4,5,3,211,510
217,96,40,56,3.3,380,7,4,3,239,2800
450,131,80,51,4.8,381,1,2,1,240,3200
471,141,104,37,3.2,382,6,3,2,241,9360
228,92,34,58,4.8,383,2,1,2,46,1190
350,115,60,55,4.5,384,7,6,2,104,4200
194,88,30,58,3.1,385,3,1,1,211,1800
211,95,31,64,4.0,386,8,2,2,242,775
550,146,109,37,4.5,387,9,3,2,243,3270
544,171,164,7,4.0,388,5,5,2,209,3280
471,142,105,37,3.1,389,2,5,2,225,3675
230,102,48,54,4.4,390,7,1,1,170,3360
151,77,18,59,3.7,391,9,2,2,244,540
433,127,76,51,3.8,392,1,3,1,157,3040
442,149,113,36,3.4,393,5,1,3,59,2260
185,90,28,62,3.7,394,4,4,1,22,420
338,127,77,50,4.5,395,1,5,3,245,3080
452,159,142,17,4.5,396,7,1,3,55,9940
359,122,76,46,4.7,397,1,2,1,246,3040
538,185,185,0,3.6,398,1,3,3,37,7400
364,135,89,46,4.4,399,3,1,2,247,5340
582,175,171,4,3.9,400,3,3,1,5,10260
408,118,68,50,3.1,401,5,5,2,248,1360
299,119,67,52,4.4,402,3,4,1,249,4020
289,124,71,53,4.6,403,10,2,3,167,1775
204,90,30,60,3.2,404,8,5,1,250,750
307,119,62,57,3.3,405,10,4,1,251,1550
170,83,28,55,3.5,406,2,5,3,38,980
175,86,21,65,3.1,407,9,3,3,252,630
533,153,122,31,4.6,408,9,6,3,201,3660
181,82,22,60,3.7,409,1,2,1,156,880
448,153,122,31,3.0,410,5,3,2,253,2440
564,179,179,0,4.6,411,10,2,1,254,4475
175,89,28,61,4.0,412,10,5,1,122,700
238,104,44,60,3.6,413,4,1,2,102,660
467,148,118,30,3.8,414,2,6,1,157,4130
194,88,25,63,4.3,415,1,4,3,78,1000
556,172,168,4,4.0,416,9,5,1,255,5040
407,134,85,49,3.6,417,2,4,3,235,2975
179,89,26,63,4.9,418,6,4,1,256,2340
286,112,54,58,4.2,419,3,6,1,103,3240
240,109,57,52,3.7,420,8,5,3,161,1425
440,140,98,42,4.7,421,7,6,1,206,6860
239,90,27,63,4.2,422,6,1,2,118,2430
150,83,22,61,4.4,423,10,1,2,67,550
225,99,47,52,4.1,424,1,6,1,257,1880
510,155,130,25,3.6,425,7,3,1,8,9100
555,167,153,14,4.4,426,4,3,1,98,2295
552,167,164,3,3.4,427,2,1,2,12,5740
215,100,44,56,3.8,428,6,2,2,19,3960
458,146,108,38,4.9,429,8,1,1,170,2700
271,104,41,63,4.6,430,5,4,3,222,820
378,117,69,48,3.1,431,7,5,2,49,4830
174,87,23,64,4.8,432,1,4,1,258,920
429,157,141,16,4.7,433,7,1,3,118,9870
233,101,36,65,3.6,434,3,1,2,259,2160
187,97,33,64,4.5,435,5,1,3,59,660
454,147,115,32,4.9,436,7,3,1,260,8050
230,93,30,63,3.8,437,4,2,2,232,450
285,102,38,64,3.1,438,9,3,2,245,1140
228,87,21,66,3.6,439,10,5,2,25,525
395,114,56,58,4.3,440,2,2,2,7,1960
307,118,69,49,3.5,441,5,4,3,261,1380
244,96,37,59,3.1,442,4,4,2,212,555
265,102,48,54,4.3,443,6,1,3,143,4320
563,182,182,0,3.5,444,7,3,2,248,12740
364,133,87,46,4.0,445,9,3,3,146,2610
407,129,89,40,3.9,446,1,6,3,262,3560
214,86,29,57,3.9,447,3,5,1,263,1740
282,97,39,58,3.8,448,2,1,1,176,1365
384,125,72,53,3.3,449,9,5,3,264,2160
204,95,42,53,4.1,450,5,6,2,23,840
346,129,84,45,3.1,451,6,3,3,100,7560
466,138,97,41,4.4,452,8,3,3,76,2425
287,103,51,52,3.6,453,10,1,2,265,1275
594,174,174,0,3.9,454,5,2,3,216,3480
459,142,103,39,4.8,455,4,6,3,196,1545
538,170,166,4,4.6,456,10,3,2,29,4150
356,121,77,44,3.4,457,9,2,3,254,2310
383,132,86,46,3.7,458,1,5,1,31,3440
475,135,94,41,4.2,459,4,2,2,142,1410
432,136,92,44,4.5,460,2,4,3,266,3220
164,78,21,57,4.6,461,6,1,1,186,1890
496,154,132,22,3.0,462,3,5,1,238,7920
217,95,29,66,3.4,463,10,6,1,267,725
366,131,83,48,3.9,464,6,4,3,9,7470
353,107,54,53,4.9,465,2,6,2,150,1890
461,148,118,30,3.1,466,2,4,2,226,4130
591,175,175,0,3.6,467,7,4,2,76,12250
179,87,31,56,3.3,468,3,3,2,157,1860
301,108,56,52,3.1,469,10,4,2,3,1400
325,119,71,48,4.6,470,3,6,2,147,4260
303,113,59,54,3.3,471,9,2,3,49,1770
540,164,147,17,3.7,472,9,5,2,268,4410
340,125,71,54,3.9,473,7,4,3,19,4970
467,157,137,20,3.2,474,2,5,2,39,4795
302,126,73,53,3.3,475,9,1,3,269,2190
441,143,112,31,3.4,476,4,1,3,270,1680
473,161,138,23,3.9,477,7,5,3,261,9660
541,169,168,1,3.2,478,2,5,1,271,5880
356,126,72,54,4.1,479,4,4,3,159,1080
537,137,91,46,4.3,480,7,6,1,226,6370
309,109,55,54,3.6,481,7,2,1,180,3850
298,108,55,53,5.0,482,6,4,1,254,4950
534,188,188,0,3.8,483,7,2,3,223,13160
258,103,40,63,3.2,484,8,6,1,244,1000
342,125,79,46,3.1,485,1,3,2,153,3160
484,153,127,26,3.9,486,5,2,2,158,2540
392,119,71,48,4.3,487,6,6,2,6,6390
489,164,156,8,3.3,488,5,3,3,272,3120
210,96,37,59,3.4,489,2,1,2,273,1295
253,103,38,65,4.1,490,9,4,3,270,1140
319,102,38,64,4.8,491,10,2,2,85,950
226,98,34,64,4.8,492,10,2,2,274,850
301,100,48,52,3.3,493,10,4,1,163,1200
560,172,164,8,3.2,494,7,3,3,42,11480
489,141,105,36,4.9,495,8,6,1,275,2625
340,108,51,57,4.9,496,5,1,2,209,1020
559,159,145,14,4.5,497,10,1,3,217,3625
452,129,83,46,4.6,498,4,4,1,57,1245
397,140,103,37,3.1,499,8,1,1,276,2575
156,86,30,56,4.7,500,7,6,2,173,2100
198,89,33,56,4.4,501,2,1,2,56,1155
463,147,111,36,4.0,502,9,2,1,149,3330
188,88,26,62,3.1,503,8,4,3,91,650
356,120,74,46,4.1,504,4,2,2,277,1110
311,125,70,55,3.2,505,10,5,3,278,1750
431,145,114,31,4.3,506,9,2,1,279,3420
485,163,147,16,4.7,507,3,3,2,280,8820
436,155,130,25,4.4,508,7,3,3,277,9100
151,83,29,54,3.6,509,3,4,1,172,1740
173,84,29,55,4.5,510,5,5,3,281,580
462,129,89,40,3.8,511,6,2,1,204,8010
205,97,44,53,4.3,512,7,1,1,164,3080
487,176,167,9,4.1,513,10,6,3,6,4175
579,184,184,0,4.8,514,4,3,2,158,2760
238,90,34,56,4.2,515,2,6,2,266,1190
364,116,61,55,4.9,516,4,6,2,196,915
361,131,88,43,4.7,517,8,3,1,282,2200
473,134,96,38,3.6,518,9,2,2,153,2880
513,152,130,22,4.3,519,8,6,2,100,3250
437,143,114,29,4.1,520,7,4,1,174,7980
204,85,29,56,3.1,521,9,5,1,14,870
499,162,151,11,4.6,522,6,1,1,133,13590
333,119,71,48,4.5,523,1,1,2,283,2840
349,124,69,55,4.9,524,9,5,2,277,2070
432,155,128,27,4.2,525,7,2,3,161,8960
536,168,156,12,3.6,526,7,6,1,84,10920
245,96,36,60,3.6,527,5,2,2,266,720
449,134,96,38,4.9,528,8,1,1,30,2400
455,140,105,35,4.1,529,7,5,1,42,7350
419,134,97,37,4.0,530,7,2,2,35,6790
356,113,55,58,4.3,531,9,5,2,129,1650
261,118,72,46,4.5,532,6,3,3,284,6480
492,138,103,35,4.2,533,5,4,1,155,2060
499,165,148,17,3.8,534,1,4,1,94,5920
162,82,24,58,3.9,535,6,3,2,113,2160
314,131,82,49,4.9,536,3,6,3,285,4920
470,150,127,23,3.4,537,1,2,2,203,5080
255,110,48,62,4.5,538,5,3,3,71,960
517,137,90,47,3.4,539,10,1,1,286,2250
444,135,94,41,4.3,540,5,5,2,287,1880
349,129,86,43,4.4,541,1,6,3,89,3440
173,82,24,58,3.2,542,2,6,2,60,840
194,91,38,53,4.3,543,2,4,3,38,1330
262,108,58,50,4.1,544,9,5,1,288,1740
496,166,149,17,4.1,545,6,3,1,39,13410
171,84,19,65,3.6,546,5,5,1,289,380
480,133,87,46,4.2,547,4,6,1,100,1305
242,104,48,56,3.9,548,5,6,1,290,960
493,133,95,38,4.2,549,6,5,1,78,8550
493,146,116,30,3.1,550,8,6,3,284,2900
380,141,99,42,4.1,551,10,4,3,182,2475
236,98,36,62,4.4,552,4,5,3,8,540
580,188,184,4,4.8,553,6,1,3,212,16560
546,174,167,7,4.3,554,7,4,3,64,11690
425,153,131,22,3.2,555,8,5,3,261,3275
473,154,126,28,4.8,556,9,5,1,168,3780
426,141,101,40,4.8,557,9,1,3,96,3030
