Date,Day,Meal_Time,Food_Item,Category,Students_Count,Quantity_Prepared,Quantity_Sold,Food_Waste,Price,Weather,Special_Event,Rating
2025-03-25,Tuesday,Lunch,Samosa,Snacks,446,152,126,26,20,Sunny,No,3.8
2025-04-12,Saturday,Breakfast,Idli,Breakfast,503,135,99,36,35,Rainy,Yes,3.6
2025-12-17,Wednesday,Evening,Samosa,Snacks,557,155,131,24,20,Rainy,Yes,4.3
2025-02-05,Wednesday,Evening,Pav Bhaji,Meals,156,76,16,60,70,Cloudy,No,4.3
2025-08-24,Sunday,Evening,Vada Pav,Snacks,372,127,81,46,25,Sunny,No,4.5
2025-08-27,Wednesday,Lunch,Idli,Breakfast,287,121,65,56,35,Cloudy,Yes,3.6
2025-08-19,Tuesday,Breakfast,Coffee,Drinks,441,132,89,43,25,Rainy,No,4.7
2025-04-04,Friday,Lunch,Masala Dosa,Meals,331,119,69,50,60,Cloudy,No,4.4
2025-05-22,Thursday,Evening,Veg Sandwich,Snacks,414,124,75,49,40,Sunny,Yes,4.0
2025-05-04,Sunday,Evening,Coffee,Drinks,480,144,103,41,25,Rainy,No,3.2
2025-04-24,Thursday,Lunch,Masala Dosa,Meals,306,118,67,51,60,Rainy,No,3.7
2025-10-09,Thursday,Lunch,Pav Bhaji,Meals,509,157,132,25,70,Cloudy,No,3.2
2025-04-09,Wednesday,Lunch,Samosa,Snacks,530,156,139,17,20,Rainy,Yes,4.0
2025-10-29,Wednesday,Evening,Idli,Breakfast,294,104,45,59,35,Sunny,Yes,3.4
2025-01-08,Wednesday,Evening,Cold Drink,Drinks,214,100,43,57,30,Cloudy,Yes,3.6
2025-03-06,Thursday,Evening,Coffee,Drinks,202,89,30,59,25,Sunny,No,3.7
2025-01-27,Monday,Lunch,Coffee,Drinks,208,96,39,57,25,Sunny,No,4.3
2025-01-28,Tuesday,Breakfast,Vada Pav,Snacks,565,145,108,37,25,Rainy,No,3.2
2025-08-02,Saturday,Evening,Idli,Breakfast,554,172,169,3,35,Rainy,Yes,3.9
2025-08-15,Friday,Lunch,Idli,Breakfast,369,136,99,37,35,Cloudy,Yes,3.2
2025-04-17,Thursday,Evening,Masala Dosa,Meals,285,99,36,63,60,Rainy,Yes,4.1
2025-03-22,Saturday,Breakfast,Tea,Drinks,380,120,65,55,15,Rainy,No,3.6
2025-05-25,Sunday,Evening,Coffee,Drinks,186,93,39,54,25,Rainy,Yes,4.6
2025-10-29,Wednesday,Evening,Masala Dosa,Meals,367,127,77,50,60,Sunny,Yes,4.7
2025-02-06,Thursday,Breakfast,Vada Pav,Snacks,555,158,139,19,25,Cloudy,No,4.4
2025-12-25,Thursday,Lunch,Veg Thali,Meals,406,139,103,36,90,Rainy,No,3.1
2025-08-10,Sunday,Evening,Pav Bhaji,Meals,459,127,83,44,70,Cloudy,Yes,4.7
2025-10-22,Wednesday,Evening,Veg Sandwich,Snacks,541,161,150,11,40,Rainy,No,4.5
2025-08-29,Friday,Evening,Coffee,Drinks,292,111,56,55,25,Sunny,No,4.9
2025-08-29,Friday,Lunch,Tea,Drinks,320,130,83,47,15,Cloudy,Yes,3.8
2025-09-11,Thursday,Lunch,Tea,Drinks,566,175,171,4,15,Rainy,Yes,3.5
2025-03-01,Saturday,Lunch,Cold Drink,Drinks,572,174,168,6,30,Sunny,No,4.0
2025-11-15,Saturday,Lunch,Coffee,Drinks,539,161,141,20,25,Sunny,Yes,4.9
2025-08-13,Wednesday,Evening,Coffee,Drinks,212,95,33,62,25,Sunny,Yes,4.1
2025-10-10,Friday,Lunch,Samosa,Snacks,265,118,69,49,20,Sunny,No,4.7
2025-09-13,Saturday,Evening,Veg Thali,Meals,410,129,83,46,90,Rainy,No,5.0
2025-05-05,Monday,Lunch,Cold Drink,Drinks,224,107,52,55,30,Cloudy,Yes,4.5
2025-03-11,Tuesday,Breakfast,Veg Thali,Meals,545,176,175,1,90,Cloudy,No,3.5
2025-01-02,Thursday,Lunch,Veg Thali,Meals,578,195,193,2,90,Rainy,No,4.1
2025-06-26,Thursday,Lunch,Cold Drink,Drinks,540,169,161,8,30,Rainy,No,4.7
2025-12-24,Wednesday,Breakfast,Idli,Breakfast,346,107,55,52,35,Sunny,No,3.9
2025-07-15,Tuesday,Lunch,Vada Pav,Snacks,403,140,105,35,25,Sunny,Yes,3.7
2025-02-21,Friday,Lunch,Samosa,Snacks,419,151,123,28,20,Cloudy,Yes,4.7
2025-03-21,Friday,Breakfast,Coffee,Drinks,550,165,152,13,25,Cloudy,No,4.3
2025-06-18,Wednesday,Evening,Cold Drink,Drinks,344,128,75,53,30,Cloudy,No,4.2
2025-05-01,Thursday,Evening,Veg Thali,Meals,266,101,37,64,90,Rainy,Yes,4.5
2025-12-27,Saturday,Breakfast,Coffee,Drinks,235,104,40,64,25,Rainy,No,3.6
2025-01-29,Wednesday,Lunch,Pav Bhaji,Meals,341,120,68,52,70,Cloudy,Yes,4.1
2025-04-03,Thursday,Breakfast,Vada Pav,Snacks,190,89,26,63,25,Rainy,No,4.0
2025-10-26,Sunday,Breakfast,Masala Dosa,Meals,386,126,81,45,60,Rainy,No,3.0
2025-08-27,Wednesday,Lunch,Cold Drink,Drinks,230,109,55,54,30,Sunny,No,3.6
2025-08-06,Wednesday,Evening,Veg Thali,Meals,383,140,109,31,90,Cloudy,Yes,4.0
2025-05-02,Friday,Lunch,Idli,Breakfast,333,137,94,43,35,Rainy,No,3.0
2025-12-04,Thursday,Lunch,Veg Thali,Meals,154,89,34,55,90,Rainy,Yes,4.0
2025-05-27,Tuesday,Breakfast,Idli,Breakfast,560,167,161,6,35,Cloudy,Yes,3.5
2025-12-04,Thursday,Evening,Vada Pav,Snacks,471,137,97,40,25,Sunny,Yes,3.1
2025-07-06,Sunday,Evening,Vada Pav,Snacks,196,92,28,64,25,Cloudy,No,3.4
2025-10-04,Saturday,Lunch,Cold Drink,Drinks,406,133,97,36,30,Cloudy,Yes,4.9
2025-06-01,Sunday,Evening,Pav Bhaji,Meals,561,181,174,7,70,Sunny,No,4.5
2025-04-26,Saturday,Evening,Tea,Drinks,583,148,117,31,15,Rainy,No,3.0
2025-10-02,Thursday,Breakfast,Coffee,Drinks,338,119,74,45,25,Rainy,No,4.3
2025-07-10,Thursday,Breakfast,Masala Dosa,Meals,391,140,99,41,60,Sunny,No,4.3
2025-11-22,Saturday,Lunch,Veg Thali,Meals,482,145,105,40,90,Cloudy,Yes,3.6
2025-09-10,Wednesday,Breakfast,Samosa,Snacks,270,101,41,60,20,Rainy,Yes,4.3
2025-12-23,Tuesday,Evening,Tea,Drinks,450,153,131,22,15,Rainy,Yes,3.2
2025-09-08,Monday,Evening,Tea,Drinks,293,102,44,58,15,Sunny,No,4.9
2025-07-05,Saturday,Breakfast,Pav Bhaji,Meals,428,121,68,53,70,Rainy,No,3.4
2025-03-04,Tuesday,Lunch,Samosa,Snacks,489,143,107,36,20,Sunny,Yes,3.5
2025-03-06,Thursday,Evening,Masala Dosa,Meals,185,88,34,54,60,Rainy,Yes,4.7
2025-06-18,Wednesday,Breakfast,Idli,Breakfast,151,85,27,58,35,Cloudy,Yes,3.5
2025-03-31,Monday,Breakfast,Veg Sandwich,Snacks,217,98,35,63,40,Sunny,No,4.2
2025-01-09,Thursday,Breakfast,Veg Thali,Meals,176,85,30,55,90,Sunny,No,3.1
2025-08-18,Monday,Lunch,Cold Drink,Drinks,453,152,128,24,30,Sunny,No,3.1
2025-12-04,Thursday,Evening,Veg Thali,Meals,384,114,60,54,90,Rainy,Yes,4.7
2025-08-07,Thursday,Evening,Samosa,Snacks,401,117,59,58,20,Rainy,No,3.6
2025-03-17,Monday,Breakfast,Vada Pav,Snacks,290,105,50,55,25,Rainy,No,4.1
2025-08-21,Thursday,Evening,Idli,Breakfast,370,133,94,39,35,Sunny,Yes,4.8
2025-10-10,Friday,Evening,Masala Dosa,Meals,370,121,77,44,60,Cloudy,Yes,3.9
2025-08-01,Friday,Evening,Samosa,Snacks,310,115,60,55,20,Cloudy,No,4.9
2025-12-18,Thursday,Lunch,Samosa,Snacks,196,93,38,55,20,Sunny,Yes,4.5
2025-03-08,Saturday,Evening,Veg Sandwich,Snacks,450,145,112,33,40,Rainy,No,3.7
2025-12-07,Sunday,Lunch,Veg Sandwich,Snacks,297,113,61,52,40,Rainy,No,4.0
2025-03-21,Friday,Evening,Coffee,Drinks,264,109,52,57,25,Sunny,No,3.2
2025-05-23,Friday,Evening,Masala Dosa,Meals,563,167,161,6,60,Cloudy,Yes,4.7
2025-05-17,Saturday,Breakfast,Vada Pav,Snacks,289,116,62,54,25,Rainy,No,3.0
2025-03-15,Saturday,Evening,Tea,Drinks,185,81,23,58,15,Sunny,Yes,3.4
2025-08-03,Sunday,Lunch,Pav Bhaji,Meals,230,105,53,52,70,Cloudy,No,4.9
2025-11-02,Sunday,Breakfast,Veg Sandwich,Snacks,229,98,37,61,40,Sunny,Yes,3.9
2025-08-06,Wednesday,Lunch,Idli,Breakfast,376,126,80,46,35,Cloudy,No,3.2
2025-08-09,Saturday,Breakfast,Veg Thali,Meals,497,150,119,31,90,Rainy,No,3.1
2025-07-22,Tuesday,Evening,Veg Sandwich,Snacks,153,85,31,54,40,Sunny,No,3.3
2025-05-11,Sunday,Lunch,Pav Bhaji,Meals,211,101,38,63,70,Sunny,No,3.3
2025-09-30,Tuesday,Evening,Masala Dosa,Meals,406,118,72,46,60,Rainy,No,4.5
2025-08-12,Tuesday,Breakfast,Coffee,Drinks,189,88,33,55,25,Cloudy,No,4.3
2025-05-29,Thursday,Breakfast,Tea,Drinks,160,85,28,57,15,Cloudy,Yes,3.9
2025-12-20,Saturday,Lunch,Samosa,Snacks,373,132,87,45,20,Sunny,Yes,4.0
2025-07-22,Tuesday,Lunch,Pav Bhaji,Meals,263,100,45,55,70,Cloudy,Yes,3.2
2025-09-19,Friday,Breakfast,Pav Bhaji,Meals,329,109,48,61,70,Rainy,Yes,3.5
2025-03-30,Sunday,Evening,Vada Pav,Snacks,539,144,116,28,25,Rainy,Yes,4.3
2025-08-26,Tuesday,Evening,Idli,Breakfast,379,136,98,38,35,Rainy,No,3.6
2025-08-14,Thursday,Breakfast,Coffee,Drinks,376,133,92,41,25,Rainy,No,3.1
2025-09-17,Wednesday,Breakfast,Veg Thali,Meals,386,114,66,48,90,Cloudy,Yes,3.6
2025-11-27,Thursday,Breakfast,Idli,Breakfast,454,139,102,37,35,Rainy,No,4.9
2025-01-22,Wednesday,Lunch,Idli,Breakfast,483,162,148,14,35,Sunny,No,3.3
2025-02-01,Saturday,Lunch,Samosa,Snacks,565,177,170,7,20,Cloudy,Yes,3.1
2025-12-29,Monday,Lunch,Coffee,Drinks,418,139,98,41,25,Rainy,Yes,3.8
2025-06-23,Monday,Evening,Idli,Breakfast,176,79,14,65,35,Rainy,No,4.1
2025-07-17,Thursday,Lunch,Veg Thali,Meals,520,160,145,15,90,Rainy,Yes,4.3
2025-06-29,Sunday,Lunch,Tea,Drinks,216,95,35,60,15,Rainy,Yes,4.3
2025-06-18,Wednesday,Breakfast,Cold Drink,Drinks,197,89,23,66,30,Rainy,No,3.7
2025-04-03,Thursday,Breakfast,Pav Bhaji,Meals,542,147,111,36,70,Cloudy,Yes,3.3
2025-06-01,Sunday,Breakfast,Cold Drink,Drinks,544,165,159,6,30,Rainy,Yes,4.2
2025-11-02,Sunday,Lunch,Vada Pav,Snacks,233,106,42,64,25,Sunny,Yes,3.8
2025-12-13,Saturday,Evening,Masala Dosa,Meals,377,132,94,38,60,Rainy,No,3.9
2025-10-01,Wednesday,Breakfast,Veg Thali,Meals,564,157,138,19,90,Cloudy,Yes,5.0
2025-08-25,Monday,Lunch,Tea,Drinks,407,155,139,16,15,Rainy,No,3.4
2025-11-06,Thursday,Breakfast,Veg Thali,Meals,176,90,31,59,90,Rainy,No,4.9
2025-12-31,Wednesday,Evening,Samosa,Snacks,295,103,47,56,20,Sunny,Yes,3.3
2025-08-12,Tuesday,Breakfast,Masala Dosa,Meals,568,181,178,3,60,Cloudy,No,3.1
2025-09-15,Monday,Lunch,Masala Dosa,Meals,347,120,68,52,60,Sunny,No,4.9
2025-11-29,Saturday,Lunch,Vada Pav,Snacks,220,106,49,57,25,Sunny,No,4.4
2025-03-13,Thursday,Evening,Coffee,Drinks,379,137,90,47,25,Rainy,Yes,3.5
2025-03-18,Tuesday,Evening,Idli,Breakfast,420,142,103,39,35,Cloudy,Yes,3.6
2025-01-25,Saturday,Breakfast,Tea,Drinks,477,129,90,39,15,Rainy,No,4.8
2025-11-02,Sunday,Evening,Veg Sandwich,Snacks,473,152,123,29,40,Rainy,Yes,3.9
2025-11-11,Tuesday,Lunch,Masala Dosa,Meals,442,154,125,29,60,Cloudy,Yes,4.0
2025-07-04,Friday,Breakfast,Cold Drink,Drinks,428,132,88,44,30,Rainy,Yes,3.1
2025-07-18,Friday,Lunch,Veg Thali,Meals,532,181,177,4,90,Sunny,No,3.5
2025-12-03,Wednesday,Evening,Samosa,Snacks,545,144,108,36,20,Rainy,No,4.1
2025-11-26,Wednesday,Breakfast,Coffee,Drinks,506,163,143,20,25,Cloudy,Yes,4.4
2025-08-23,Saturday,Breakfast,Veg Thali,Meals,253,107,49,58,90,Sunny,Yes,4.9
2025-09-21,Sunday,Lunch,Cold Drink,Drinks,392,145,108,37,30,Cloudy,Yes,3.6
2025-01-25,Saturday,Evening,Pav Bhaji,Meals,289,106,48,58,70,Sunny,No,4.5
2025-07-17,Thursday,Lunch,Vada Pav,Snacks,404,136,101,35,25,Rainy,No,4.0
2025-02-12,Wednesday,Evening,Tea,Drinks,190,88,27,61,15,Cloudy,Yes,3.2
2025-06-17,Tuesday,Evening,Veg Thali,Meals,306,103,46,57,90,Cloudy,No,3.7
2025-01-22,Wednesday,Evening,Pav Bhaji,Meals,464,147,121,26,70,Cloudy,No,4.9
2025-02-08,Saturday,Evening,Tea,Drinks,336,128,77,51,15,Rainy,Yes,4.7
2025-12-14,Sunday,Lunch,Veg Sandwich,Snacks,214,102,42,60,40,Sunny,Yes,3.7
2025-10-18,Saturday,Breakfast,Idli,Breakfast,228,103,43,60,35,Rainy,No,3.9
2025-02-09,Sunday,Evening,Vada Pav,Snacks,421,128,79,49,25,Cloudy,No,3.5
2025-02-28,Friday,Breakfast,Vada Pav,Snacks,405,143,103,40,25,Rainy,No,3.5
2025-05-14,Wednesday,Evening,Coffee,Drinks,259,105,48,57,25,Rainy,No,3.4
2025-03-11,Tuesday,Breakfast,Coffee,Drinks,238,106,54,52,25,Rainy,No,4.4
2025-06-13,Friday,Evening,Pav Bhaji,Meals,513,167,165,2,70,Sunny,No,3.3
2025-12-30,Tuesday,Evening,Vada Pav,Snacks,556,145,108,37,25,Cloudy,Yes,4.6
2025-05-02,Friday,Lunch,Veg Sandwich,Snacks,334,124,76,48,40,Rainy,No,3.3
2025-02-14,Friday,Breakfast,Veg Thali,Meals,353,121,75,46,90,Rainy,No,3.8
2025-10-22,Wednesday,Breakfast,Vada Pav,Snacks,312,111,59,52,25,Rainy,Yes,4.0
2025-03-07,Friday,Evening,Idli,Breakfast,243,98,46,52,35,Sunny,No,3.1
2025-03-05,Wednesday,Evening,Vada Pav,Snacks,305,106,54,52,25,Sunny,Yes,3.5
2025-09-23,Tuesday,Lunch,Samosa,Snacks,278,104,44,60,20,Sunny,No,4.2
2025-02-17,Monday,Evening,Vada Pav,Snacks,453,129,85,44,25,Rainy,Yes,4.4
2025-11-06,Thursday,Lunch,Idli,Breakfast,171,82,26,56,35,Sunny,Yes,4.5
2025-05-16,Friday,Evening,Masala Dosa,Meals,542,163,142,21,60,Rainy,No,4.0
2025-11-18,Tuesday,Evening,Veg Thali,Meals,478,136,101,35,90,Cloudy,No,4.4
2025-06-02,Monday,Lunch,Samosa,Snacks,502,160,143,17,20,Sunny,Yes,3.9
2025-06-24,Tuesday,Evening,Vada Pav,Snacks,310,117,71,46,25,Rainy,No,3.7
2025-07-24,Thursday,Breakfast,Pav Bhaji,Meals,413,126,79,47,70,Rainy,Yes,3.2
2025-08-19,Tuesday,Breakfast,Vada Pav,Snacks,199,96,43,53,25,Sunny,No,4.2
2025-05-08,Thursday,Breakfast,Pav Bhaji,Meals,445,128,77,51,70,Rainy,No,4.0
2025-09-21,Sunday,Lunch,Coffee,Drinks,600,163,149,14,25,Cloudy,No,4.0
2025-05-04,Sunday,Breakfast,Idli,Breakfast,330,110,57,53,35,Sunny,Yes,4.8
2025-12-01,Monday,Evening,Coffee,Drinks,296,116,63,53,25,Rainy,Yes,3.3
2025-05-16,Friday,Evening,Pav Bhaji,Meals,541,139,94,45,70,Cloudy,No,4.1
2025-04-10,Thursday,Lunch,Cold Drink,Drinks,297,116,69,47,30,Sunny,No,4.1
2025-11-16,Sunday,Evening,Idli,Breakfast,210,90,36,54,35,Sunny,Yes,5.0
2025-10-13,Monday,Lunch,Vada Pav,Snacks,251,106,42,64,25,Rainy,No,3.1
2025-06-20,Friday,Lunch,Cold Drink,Drinks,383,131,89,42,30,Sunny,Yes,3.6
2025-07-21,Monday,Evening,Veg Thali,Meals,453,147,113,34,90,Cloudy,No,3.9
2025-01-09,Thursday,Lunch,Pav Bhaji,Meals,494,164,156,8,70,Sunny,No,4.8
2025-12-19,Friday,Evening,Veg Sandwich,Snacks,455,156,140,16,40,Cloudy,No,4.9
2025-10-24,Friday,Evening,Masala Dosa,Meals,519,140,106,34,60,Sunny,No,4.4
2025-07-14,Monday,Breakfast,Masala Dosa,Meals,166,79,20,59,60,Rainy,Yes,3.6
2025-03-19,Wednesday,Lunch,Masala Dosa,Meals,360,141,108,33,60,Rainy,No,4.5
2025-12-28,Sunday,Breakfast,Cold Drink,Drinks,256,110,55,55,30,Rainy,No,4.1
2025-06-10,Tuesday,Breakfast,Coffee,Drinks,422,139,108,31,25,Cloudy,No,4.4
2025-11-26,Wednesday,Evening,Veg Thali,Meals,462,158,135,23,90,Cloudy,Yes,4.1
2025-04-26,Saturday,Lunch,Veg Thali,Meals,510,157,135,22,90,Sunny,No,4.1
2025-05-21,Wednesday,Lunch,Samosa,Snacks,443,162,147,15,20,Rainy,No,4.6
2025-03-16,Sunday,Lunch,Veg Sandwich,Snacks,297,113,59,54,40,Rainy,Yes,4.3
2025-09-03,Wednesday,Breakfast,Masala Dosa,Meals,573,183,183,0,60,Rainy,No,3.5
2025-02-25,Tuesday,Evening,Idli,Breakfast,272,107,52,55,35,Sunny,Yes,3.5
2025-04-30,Wednesday,Breakfast,Samosa,Snacks,361,111,61,50,20,Cloudy,No,3.3
2025-10-09,Thursday,Breakfast,Tea,Drinks,484,152,131,21,15,Cloudy,No,4.9
2025-06-14,Saturday,Lunch,Veg Sandwich,Snacks,543,173,173,0,40,Sunny,Yes,4.7
2025-01-20,Monday,Breakfast,Tea,Drinks,578,187,184,3,15,Sunny,Yes,4.6
2025-04-06,Sunday,Evening,Veg Thali,Meals,598,160,145,15,90,Sunny,Yes,3.2
2025-06-21,Saturday,Lunch,Coffee,Drinks,478,171,163,8,25,Rainy,No,4.7
2025-08-28,Thursday,Lunch,Masala Dosa,Meals,564,162,147,15,60,Sunny,No,4.3
2025-04-06,Sunday,Breakfast,Pav Bhaji,Meals,554,147,122,25,70,Cloudy,Yes,4.3
2025-07-27,Sunday,Lunch,Cold Drink,Drinks,317,125,72,53,30,Sunny,No,5.0
2025-09-02,Tuesday,Lunch,Masala Dosa,Meals,153,81,27,54,60,Cloudy,No,3.5
2025-06-18,Wednesday,Lunch,Idli,Breakfast,520,157,135,22,35,Rainy,Yes,4.4
2025-02-01,Saturday,Evening,Samosa,Snacks,388,124,77,47,20,Cloudy,Yes,4.8
2025-12-27,Saturday,Lunch,Samosa,Snacks,477,161,141,20,20,Cloudy,No,4.9
2025-09-02,Tuesday,Breakfast,Coffee,Drinks,532,153,129,24,25,Rainy,No,4.8
2025-10-03,Friday,Evening,Masala Dosa,Meals,540,159,141,18,60,Sunny,Yes,4.4
