Transaction_ID,Food_Item
314,Cold Drink
314,Masala Dosa
315,Idli
315,Tea
316,Samosa
316,Tea
317,Tea
318,Cold Drink
319,Veg Sandwich
319,Cold Drink
320,Idli
320,Tea
321,Vada Pav
321,Cold Drink
322,Pav Bhaji
323,Coffee
324,Masala Dosa
325,Tea
326,Tea
326,Coffee
327,Tea
328,Vada Pav
328,Cold Drink
329,Idli
329,Tea
329,Coffee
330,Samosa
330,Tea
331,Vada Pav
331,Cold Drink
332,Vada Pav
332,Cold Drink
333,Veg Thali
334,Tea
335,Pav Bhaji
336,Tea
337,Coffee
338,Veg Sandwich
338,Cold Drink
339,Veg Thali
340,Samosa
340,Tea
341,Coffee
341,Veg Thali
342,Veg Sandwich
342,Cold Drink
343,Veg Thali
344,Tea
344,Cold Drink
345,Tea
346,Vada Pav
346,Cold Drink
346,Tea
347,Idli
348,Idli
348,Tea
349,Veg Thali
350,Veg Sandwich
351,Veg Thali
352,Vada Pav
352,Cold Drink
353,Idli
353,Tea
354,Veg Thali
355,Veg Thali
355,Tea
356,Coffee
356,Tea
357,Idli
357,Tea
358,Veg Thali
358,Tea
359,Veg Thali
359,Veg Sandwich
360,Idli
361,Veg Thali
362,Masala Dosa
362,Tea
363,Masala Dosa
363,Tea
364,Vada Pav
365,Veg Sandwich
365,Cold Drink
366,Idli
366,Tea
366,Veg Thali
367,Pav Bhaji
367,Vada Pav
368,Cold Drink
369,Pav Bhaji
369,Cold Drink
370,Vada Pav
370,Cold Drink
371,Coffee
372,Veg Thali
373,Pav Bhaji
374,Samosa
374,Tea
375,Tea
376,Cold Drink
377,Tea
377,Cold Drink
378,Samosa
378,Tea
379,Veg Thali
380,Pav Bhaji
380,Cold Drink
381,Veg Sandwich
381,Cold Drink
382,Pav Bhaji
383,Samosa
383,Tea
384,Veg Thali
385,Samosa
385,Tea
386,Veg Thali
387,Samosa
387,Tea
388,Vada Pav
388,Cold Drink
389,Cold Drink
390,Vada Pav
391,Coffee
392,Veg Thali
392,Pav Bhaji
393,Masala Dosa
393,Tea
394,Pav Bhaji
394,Cold Drink
395,Cold Drink
396,Pav Bhaji
396,Cold Drink
397,Samosa
398,Samosa
398,Tea
399,Idli
399,Pav Bhaji
400,Masala Dosa
401,Masala Dosa
401,Tea
402,Masala Dosa
402,Tea
403,Masala Dosa
403,Tea
403,Idli
404,Veg Sandwich
404,Cold Drink
405,Vada Pav
405,Cold Drink
406,Samosa
406,Tea
406,Veg Sandwich
407,Pav Bhaji
408,Pav Bhaji
408,Cold Drink
409,Vada Pav
410,Samosa
410,Tea
411,Cold Drink
412,Coffee
413,Idli
413,Tea
414,Cold Drink
415,Veg Sandwich
415,Cold Drink
416,Tea
417,Samosa
417,Tea
418,Samosa
419,Vada Pav
419,Cold Drink
420,Idli
420,Tea
421,Idli
421,Tea
422,Idli
422,Tea
423,Samosa
424,Cold Drink
425,Masala Dosa
425,Tea
426,Tea
427,Coffee
428,Samosa
428,Tea
429,Veg Thali
430,Vada Pav
431,Samosa
432,Pav Bhaji
433,Idli
434,Samosa
434,Tea
435,Tea
436,Veg Sandwich
437,Pav Bhaji
437,Cold Drink
438,Vada Pav
439,Samosa
439,Tea
440,Samosa
441,Tea
442,Idli
443,Veg Sandwich
443,Cold Drink
444,Veg Thali
445,Veg Thali
446,Pav Bhaji
446,Cold Drink
447,Idli
447,Veg Sandwich
448,Samosa
449,Tea
450,Vada Pav
450,Cold Drink
451,Idli
451,Tea
452,Vada Pav
452,Cold Drink
453,Samosa
453,Tea
454,Coffee
455,Tea
456,Cold Drink
456,Tea
457,Samosa
457,Tea
458,Coffee
459,Veg Thali
459,Tea
460,Idli
460,Tea
461,Masala Dosa
462,Veg Thali
463,Veg Sandwich
463,Cold Drink
464,Vada Pav
464,Cold Drink
465,Cold Drink
466,Pav Bhaji
466,Cold Drink
467,Veg Sandwich
467,Cold Drink
468,Samosa
469,Idli
469,Tea
470,Veg Thali
470,Veg Sandwich
471,Pav Bhaji
471,Cold Drink
472,Coffee
473,Pav Bhaji
473,Cold Drink
474,Masala Dosa
474,Tea
475,Samosa
475,Tea
476,Pav Bhaji
476,Cold Drink
477,Samosa
477,Tea
477,Cold Drink
478,Masala Dosa
479,Vada Pav
479,Cold Drink
479,Masala Dosa
480,Vada Pav
481,Samosa
481,Tea
482,Coffee
483,Idli
484,Idli
485,Pav Bhaji
486,Vada Pav
486,Cold Drink
487,Veg Thali
488,Idli
488,Tea
489,Veg Thali
490,Veg Sandwich
490,Cold Drink
491,Samosa
491,Tea
492,Samosa
492,Tea
493,Coffee
494,Veg Sandwich
494,Cold Drink
495,Masala Dosa
495,Tea
496,Vada Pav
497,Pav Bhaji
497,Vada Pav
498,Veg Sandwich
498,Cold Drink
499,Coffee
500,Idli
500,Tea
501,Veg Thali
502,Pav Bhaji
503,Samosa
503,Tea
504,Tea
505,Idli
506,Idli
507,Veg Thali
508,Tea
508,Samosa
509,Veg Thali
510,Pav Bhaji
511,Cold Drink
511,Tea
512,Cold Drink
513,Pav Bhaji
513,Cold Drink
514,Pav Bhaji
515,Masala Dosa
515,Veg Thali
516,Samosa
516,Tea
517,Cold Drink
517,Pav Bhaji
518,Idli
518,Tea
519,Vada Pav
519,Cold Drink
520,Idli
520,Coffee
521,Veg Sandwich
521,Cold Drink
522,Masala Dosa
523,Coffee
524,Masala Dosa
524,Tea
525,Coffee
526,Masala Dosa
526,Tea
527,Coffee
528,Veg Thali
529,Cold Drink
530,Vada Pav
531,Vada Pav
531,Coffee
532,Pav Bhaji
532,Cold Drink
533,Samosa
533,Tea
534,Veg Thali
535,Cold Drink
535,Tea
536,Samosa
537,Coffee
538,Veg Sandwich
538,Cold Drink
539,Pav Bhaji
539,Cold Drink
540,Pav Bhaji
540,Cold Drink
541,Samosa
542,Vada Pav
542,Cold Drink
543,Coffee
544,Vada Pav
545,Idli
545,Tea
545,Veg Thali
546,Masala Dosa
547,Idli
547,Tea
547,Veg Thali
548,Masala Dosa
548,Tea
549,Idli
549,Tea
549,Coffee
550,Idli
550,Tea
551,Idli
551,Tea
552,Veg Sandwich
552,Cold Drink
553,Tea
553,Samosa
554,Cold Drink
555,Samosa
556,Cold Drink
557,Tea
558,Veg Sandwich
558,Cold Drink
559,Veg Thali
560,Pav Bhaji
561,Samosa
562,Pav Bhaji
562,Cold Drink
563,Pav Bhaji
563,Coffee
564,Coffee
565,Vada Pav
565,Cold Drink
566,Coffee
566,Masala Dosa
567,Veg Sandwich
568,Pav Bhaji
569,Cold Drink
570,Veg Sandwich
570,Pav Bhaji
571,Veg Sandwich
572,Samosa
573,Tea
574,Tea
575,Vada Pav
575,Cold Drink
576,Cold Drink
577,Samosa
577,Idli
578,Vada Pav
578,Cold Drink
579,Samosa
579,Tea
580,Coffee
581,Tea
581,Coffee
582,Pav Bhaji
582,Cold Drink
583,Pav Bhaji
584,Veg Sandwich
584,Cold Drink
585,Pav Bhaji
585,Cold Drink
586,Vada Pav
586,Idli
587,Coffee
587,Samosa
588,Masala Dosa
589,Tea
590,Veg Sandwich
590,Cold Drink
591,Pav Bhaji
591,Cold Drink
592,Idli
592,Tea
593,Pav Bhaji
594,Samosa
594,Tea
594,Cold Drink
595,Tea
596,Samosa
596,Tea
597,Coffee
598,Idli
598,Tea
599,Coffee
600,Vada Pav
601,Coffee
602,Pav Bhaji
603,Cold Drink
604,Veg Thali
605,Vada Pav
606,Samosa
607,Masala Dosa
607,Cold Drink
608,Idli
608,Tea
609,Cold Drink
609,Samosa
610,Samosa
610,Tea
611,Coffee
612,Tea
613,Samosa
613,Tea
614,Samosa
614,Tea
615,Pav Bhaji
615,Cold Drink
616,Cold Drink
617,Vada Pav
617,Cold Drink
618,Veg Sandwich
619,Veg Thali
619,Pav Bhaji
620,Masala Dosa
620,Tea
621,Veg Thali
622,Veg Thali
622,Cold Drink
623,Veg Thali
624,Idli
624,Tea
625,Vada Pav
625,Cold Drink
626,Vada Pav
627,Idli
627,Tea
628,Veg Sandwich
629,Idli
629,Tea
630,Idli
630,Tea
631,Coffee
632,Cold Drink
633,Veg Thali
634,Tea
635,Samosa
635,Tea
636,Coffee
637,Pav Bhaji
638,Pav Bhaji
639,Tea
639,Pav Bhaji
640,Cold Drink
641,Pav Bhaji
641,Cold Drink
641,Coffee
642,Masala Dosa
642,Tea
643,Idli
643,Tea
644,Vada Pav
645,Pav Bhaji
645,Cold Drink
646,Coffee
647,Veg Thali
648,Samosa
649,Masala Dosa
649,Tea
650,Veg Sandwich
650,Cold Drink
651,Coffee
652,Veg Sandwich
653,Veg Thali
654,Tea
655,Tea
655,Cold Drink
656,Masala Dosa
656,Tea
657,Tea
658,Cold Drink
659,Idli
659,Samosa
660,Tea
661,Pav Bhaji
662,Vada Pav
662,Cold Drink
663,Cold Drink
663,Veg Sandwich
664,Vada Pav
665,Cold Drink
666,Idli
667,Pav Bhaji
667,Cold Drink
668,Veg Thali
669,Cold Drink
670,Cold Drink
671,Idli
671,Tea
672,Pav Bhaji
672,Cold Drink
672,Tea
673,Idli
673,Tea
674,Veg Sandwich
674,Cold Drink
675,Idli
675,Tea
676,Idli
676,Tea
677,Idli
678,Masala Dosa
678,Tea
679,Samosa
679,Tea
680,Tea
680,Masala Dosa
681,Tea
682,Idli
683,Veg Sandwich
684,Cold Drink
685,Coffee
686,Pav Bhaji
687,Cold Drink
688,Pav Bhaji
689,Veg Thali
690,Masala Dosa
691,Veg Thali
692,Veg Thali
693,Masala Dosa
694,Coffee
695,Veg Thali
696,Idli
697,Tea
698,Vada Pav
698,Cold Drink
699,Samosa
699,Tea
700,Veg Thali
701,Masala Dosa
701,Tea
702,Cold Drink
703,Vada Pav
703,Cold Drink
704,Masala Dosa
704,Tea
705,Cold Drink
706,Masala Dosa
706,Tea
707,Coffee
707,Vada Pav
708,Veg Sandwich
709,Vada Pav
709,Cold Drink
710,Coffee
711,Masala Dosa
712,Veg Thali
713,Samosa
713,Tea
714,Veg Sandwich
714,Vada Pav
715,Veg Sandwich
716,Coffee
716,Veg Thali
717,Veg Sandwich
717,Cold Drink
718,Samosa
719,Coffee
720,Cold Drink
721,Vada Pav
722,Masala Dosa
723,Coffee
724,Vada Pav
724,Cold Drink
725,Veg Thali
726,Masala Dosa
726,Tea
727,Tea
728,Cold Drink
729,Tea
730,Vada Pav
731,Masala Dosa
731,Tea
732,Coffee
733,Pav Bhaji
733,Cold Drink
734,Veg Sandwich
734,Cold Drink
735,Masala Dosa
735,Tea
735,Veg Thali
736,Vada Pav
736,Cold Drink
737,Veg Thali
738,Veg Thali
739,Masala Dosa
739,Tea
739,Vada Pav
740,Coffee
741,Idli
741,Tea
742,Coffee
743,Masala Dosa
744,Idli
744,Coffee
745,Cold Drink
746,Samosa
746,Cold Drink
747,Cold Drink
748,Cold Drink
748,Pav Bhaji
749,Cold Drink
750,Masala Dosa
751,Cold Drink
752,Veg Sandwich
752,Cold Drink
753,Coffee
754,Cold Drink
755,Veg Thali
756,Tea
757,Veg Sandwich
758,Veg Sandwich
758,Cold Drink
759,Cold Drink
760,Samosa
761,Veg Thali
762,Vada Pav
763,Tea
764,Tea
765,Tea
766,Cold Drink
766,Pav Bhaji
767,Samosa
767,Tea
768,Cold Drink
768,Masala Dosa
769,Veg Sandwich
770,Coffee
771,Cold Drink
772,Tea
773,Masala Dosa
773,Tea
774,Samosa
774,Tea
775,Idli
776,Veg Sandwich
776,Cold Drink
776,Idli
777,Veg Sandwich
777,Cold Drink
778,Veg Sandwich
778,Cold Drink
778,Coffee
779,Masala Dosa
779,Tea
780,Veg Sandwich
780,Cold Drink
781,Masala Dosa
782,Pav Bhaji
783,Pav Bhaji
783,Cold Drink
784,Cold Drink
785,Veg Thali
786,Cold Drink
787,Vada Pav
788,Coffee
788,Pav Bhaji
789,Tea
790,Pav Bhaji
791,Veg Thali
792,Cold Drink
793,Masala Dosa
793,Tea
794,Coffee
795,Cold Drink
796,Tea
797,Vada Pav
797,Cold Drink
798,Pav Bhaji
799,Pav Bhaji
799,Cold Drink
800,Masala Dosa
800,Tea
801,Idli
802,Masala Dosa
803,Cold Drink
804,Masala Dosa
805,Veg Sandwich
805,Cold Drink
805,Samosa
806,Coffee
807,Idli
808,Masala Dosa
808,Tea
809,Tea
810,Pav Bhaji
810,Cold Drink
811,Coffee
812,Coffee
813,Pav Bhaji
814,Tea
814,Masala Dosa
815,Vada Pav
815,Cold Drink
816,Idli
816,Tea
817,Vada Pav
817,Cold Drink
818,Idli
819,Pav Bhaji
819,Cold Drink
820,Coffee
821,Pav Bhaji
821,Cold Drink
822,Coffee
822,Cold Drink
823,Veg Sandwich
823,Cold Drink
824,Samosa
825,Veg Sandwich
825,Cold Drink
826,Masala Dosa
826,Tea
827,Cold Drink
828,Veg Sandwich
828,Cold Drink
829,Idli
830,Veg Sandwich
830,Cold Drink
831,Veg Sandwich
831,Cold Drink
832,Cold Drink
833,Veg Sandwich
833,Cold Drink
834,Tea
835,Vada Pav
835,Cold Drink
836,Masala Dosa
836,Tea
837,Pav Bhaji
837,Cold Drink
838,Pav Bhaji
839,Masala Dosa
840,Samosa
840,Tea
841,Veg Sandwich
841,Cold Drink
842,Cold Drink
843,Veg Sandwich
843,Tea
844,Pav Bhaji
845,Samosa
846,Masala Dosa
846,Tea
847,Idli
847,Tea
847,Samosa
848,Veg Thali
849,Idli
849,Pav Bhaji
850,Veg Sandwich
851,Tea
852,Veg Thali
852,Masala Dosa
853,Idli
854,Cold Drink
855,Vada Pav
856,Samosa
856,Tea
857,Veg Sandwich
857,Cold Drink
858,Samosa
858,Tea
859,Idli
859,Tea
860,Veg Sandwich
860,Cold Drink
861,Coffee
862,Pav Bhaji
863,Vada Pav
864,Samosa
865,Masala Dosa
865,Vada Pav
866,Tea
867,Vada Pav
868,Samosa
868,Tea
869,Coffee
870,Veg Thali
870,Samosa
871,Vada Pav
871,Cold Drink
872,Cold Drink
873,Veg Sandwich
873,Cold Drink
874,Idli
874,Tea
875,Tea
876,Tea
877,Cold Drink
878,Masala Dosa
878,Tea
879,Vada Pav
879,Cold Drink
880,Coffee
880,Vada Pav
881,Tea
882,Veg Thali
883,Samosa
883,Tea
884,Coffee
885,Masala Dosa
885,Tea
885,Veg Sandwich
886,Tea
887,Idli
887,Tea
888,Coffee
889,Idli
889,Tea
890,Masala Dosa
890,Tea
891,Pav Bhaji
891,Cold Drink
892,Coffee
893,Masala Dosa
893,Tea
894,Tea
895,Idli
895,Tea
896,Vada Pav
897,Coffee
898,Masala Dosa
898,Tea
899,Samosa
900,Tea
901,Vada Pav
902,Vada Pav
903,Samosa
903,Tea
904,Idli
904,Tea
905,Tea
906,Pav Bhaji
907,Idli
907,Masala Dosa
908,Pav Bhaji
908,Cold Drink
909,Idli
910,Tea
911,Pav Bhaji
912,Veg Sandwich
912,Cold Drink
913,Cold Drink
914,Idli
914,Tea
915,Coffee
916,Idli
916,Veg Sandwich
917,Coffee
917,Tea
918,Samosa
918,Tea
919,Vada Pav
919,Cold Drink
920,Masala Dosa
920,Tea
921,Samosa
921,Tea
922,Pav Bhaji
922,Cold Drink
922,Samosa
923,Veg Sandwich
924,Vada Pav
925,Cold Drink
925,Vada Pav
926,Pav Bhaji
927,Masala Dosa
928,Vada Pav
929,Veg Sandwich
930,Coffee
931,Tea
931,Masala Dosa
932,Masala Dosa
932,Tea
933,Samosa
933,Tea
934,Cold Drink
934,Pav Bhaji
935,Masala Dosa
935,Tea
936,Coffee
937,Pav Bhaji
938,Idli
938,Tea
939,Coffee
940,Veg Thali
941,Idli
941,Tea
941,Samosa
942,Masala Dosa
942,Tea
942,Vada Pav
943,Cold Drink
944,Idli
944,Tea
945,Vada Pav
945,Cold Drink
946,Vada Pav
946,Cold Drink
947,Vada Pav
947,Cold Drink
948,Idli
948,Tea
949,Veg Sandwich
949,Cold Drink
949,Tea
950,Cold Drink
951,Coffee
952,Coffee
953,Coffee
954,Samosa
954,Tea
955,Masala Dosa
955,Tea
956,Cold Drink
957,Coffee
958,Coffee
959,Samosa
959,Tea
960,Cold Drink
961,Pav Bhaji
961,Cold Drink
962,Coffee
963,Tea
963,Masala Dosa
964,Veg Thali
965,Veg Sandwich
965,Cold Drink
966,Samosa
966,Tea
967,Masala Dosa
967,Tea
968,Pav Bhaji
969,Tea
969,Vada Pav
970,Masala Dosa
971,Idli
971,Tea
972,Cold Drink
972,Veg Thali
973,Veg Thali
974,Cold Drink
975,Samosa
975,Tea
976,Tea
977,Veg Thali
978,Vada Pav
979,Pav Bhaji
980,Tea
981,Idli
982,Tea
983,Samosa
983,Tea
984,Pav Bhaji
984,Cold Drink
985,Idli
985,Tea
986,Samosa
987,Pav Bhaji
988,Tea
989,Tea
990,Coffee
991,Veg Thali
992,Idli
992,Tea
993,Pav Bhaji
994,Veg Sandwich
994,Cold Drink
995,Coffee
995,Vada Pav
996,Coffee
997,Tea
998,Vada Pav
999,Veg Thali
999,Pav Bhaji
1000,Veg Thali
1000,Vada Pav
1001,Veg Sandwich
1001,Cold Drink
1002,Masala Dosa
1002,Tea
1002,Samosa
1003,Veg Sandwich
1003,Cold Drink
1003,Idli
1004,Masala Dosa
1004,Tea
1005,Veg Sandwich
1006,Tea
1007,Coffee
1007,Tea
1008,Samosa
1008,Pav Bhaji
1009,Pav Bhaji
1009,Vada Pav
1010,Vada Pav
1010,Cold Drink
1011,Idli
1012,Masala Dosa
1012,Tea
1013,Idli
1014,Samosa
1015,Idli
1016,Tea
1017,Vada Pav
1017,Cold Drink
1018,Masala Dosa
1018,Tea
1019,Idli
1019,Tea
1020,Veg Sandwich
1021,Veg Thali
1022,Idli
1022,Tea
1023,Veg Thali
1024,Masala Dosa
1024,Tea
1024,Coffee
1025,Idli
1025,Tea
1026,Veg Sandwich
1027,Vada Pav
1027,Cold Drink
1028,Tea
1029,Vada Pav
1030,Samosa
1030,Tea
1030,Veg Thali
1031,Masala Dosa
1031,Tea
1032,Cold Drink
1033,Cold Drink
1034,Tea
1035,Samosa
1035,Tea
1036,Vada Pav
1036,Cold Drink
1037,Cold Drink
1038,Vada Pav
1038,Cold Drink
1039,Samosa
1039,Tea
1040,Masala Dosa
1040,Tea
1041,Samosa
1041,Tea
1042,Veg Thali
1043,Vada Pav
1043,Cold Drink
1044,Veg Sandwich
1044,Cold Drink
1045,Cold Drink
1046,Veg Thali
1046,Vada Pav
1047,Veg Thali
1048,Samosa
1048,Tea
1049,Veg Thali
1050,Veg Thali
1051,Idli
1052,Cold Drink
1053,Coffee
1054,Vada Pav
1054,Cold Drink
1055,Samosa
1056,Samosa
1056,Tea
1057,Veg Sandwich
1058,Coffee
1059,Vada Pav
1059,Cold Drink
1060,Veg Sandwich
1060,Cold Drink
1061,Tea
1062,Masala Dosa
1062,Tea
1063,Veg Thali
1064,Idli
1064,Tea
1065,Veg Sandwich
1065,Cold Drink
1066,Veg Sandwich
1066,Coffee
1067,Veg Thali
1068,Veg Thali
1069,Cold Drink
1070,Pav Bhaji
1070,Cold Drink
1071,Veg Thali
1072,Masala Dosa
1072,Tea
1073,Coffee
1074,Masala Dosa
1075,Masala Dosa
1075,Tea
1076,Veg Sandwich
1076,Cold Drink
1077,Veg Sandwich
1077,Tea
1078,Veg Thali
1078,Cold Drink
1079,Masala Dosa
1079,Tea
1080,Vada Pav
1080,Masala Dosa
1081,Cold Drink
1082,Pav Bhaji
1082,Cold Drink
1083,Idli
1083,Tea
1084,Samosa
1084,Tea
1084,Vada Pav
1085,Masala Dosa
1085,Tea
1086,Tea
1087,Pav Bhaji
1087,Cold Drink
1088,Samosa
1088,Idli
1089,Samosa
1089,Tea
1089,Coffee
1090,Pav Bhaji
1090,Cold Drink
1091,Masala Dosa
1091,Tea
1092,Samosa
1092,Tea
1093,Veg Thali
1094,Idli
1094,Tea
1095,Pav Bhaji
1095,Cold Drink
1096,Pav Bhaji
1096,Cold Drink
1096,Veg Thali
1097,Veg Thali
1098,Vada Pav
1098,Cold Drink
1099,Coffee
1100,Cold Drink
1101,Coffee
1101,Vada Pav
1102,Samosa
1102,Tea
1103,Masala Dosa
1103,Tea
1104,Pav Bhaji
1105,Samosa
1105,Tea
1106,Samosa
1106,Tea
1106,Coffee
1107,Vada Pav
1107,Cold Drink
1108,Pav Bhaji
1108,Cold Drink
1109,Veg Sandwich
